Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio
"['GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",44982.07580615874,-0.3644855473078237,0.24571446457575397,1.217437919157103,2.1532679492089644
"['AAPL', 'NVDA', 'JPM', 'PG', 'KO']",44542.28194676613,-0.340358932709003,0.24716091279708108,1.2031743748997703,2.2806948316406874
"['MSFT', 'NVDA', 'JPM', 'PG', 'KO']",44661.87666552924,-0.36045884843817516,0.24761653326144956,1.2031571737666764,2.27206426385296
"['NVDA', 'JPM', 'V', 'PG', 'KO']",43918.6983612989,-0.3463358733768072,0.24433454703131857,1.2018211364093434,2.388135343777918
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'KO']",46544.99865718154,-0.35677903839831326,0.2591721352766601,1.1951778754451847,2.0057582912867553
"['GOOGL', 'NVDA', 'JPM', 'V', 'KO']",45921.41507171431,-0.3648453291403502,0.2565749117439365,1.1933781417468703,2.083674246503913
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'KO']",46664.59337594465,-0.3819558745343471,0.26044803409845824,1.1922257163934895,2.0229630569185955
"['MSFT', 'NVDA', 'JPM', 'V', 'KO']",45601.215931084815,-0.3609545359572633,0.25732796259410073,1.1842807881250224,2.3053586160368384
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'KO']",46224.79951655204,-0.35289946637090713,0.26076248041654504,1.1832129984316806,2.1280503653010734
"['GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",40635.91480423873,-0.345055916963081,0.23252111206897275,1.1823256548760335,2.1984876796404564
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",41155.56779212809,-0.3402363044644343,0.23570077532886177,1.1810482866266172,2.051970571564883
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'PG']",46159.286633380034,-0.3785107660878229,0.26128683733596175,1.1809356827062145,1.9436956199099096
"['AAPL', 'NVDA', 'JPM', 'V', 'KO']",45481.621212321705,-0.33750334337682303,0.257831020106296,1.1806187073340497,2.2856326741599977
"['GOOGL', 'NVDA', 'JPM', 'V', 'PG']",45535.70304791281,-0.38842933968935733,0.2583312777169615,1.1801646806498136,2.044731638092104
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",41255.23005776401,-0.3560544898531531,0.23670875356480278,1.1786739237946968,2.065544569764319
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG']",46278.881352143144,-0.4040086649332973,0.26290251042135787,1.1768730287991687,1.979836798792172
"['MSFT', 'NVDA', 'JPM', 'V', 'PG', 'KO']",40369.08218704748,-0.34007386840994924,0.23393595523350053,1.1700971251180399,2.340339849966214
"['MSFT', 'NVDA', 'JPM', 'V', 'PG']",45215.50390728331,-0.38554517716100634,0.25962110369914426,1.1691712516301453,2.2424962084558
"['GOOGL', 'NVDA', 'V', 'PG', 'KO']",43149.659388468535,-0.3459933704014562,0.24933313650566147,1.1681434251384837,2.2602763056069777
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'PG']",45839.087492750536,-0.37548302178883886,0.26333984876597744,1.167488428849933,2.100374300181319
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'PG', 'KO']",40888.73517493683,-0.33545561062007406,0.2376560341970897,1.166943989006752,2.196516670069428
"['AAPL', 'NVDA', 'JPM', 'V', 'PG']",45095.9091885202,-0.36205961567983164,0.2598605444869046,1.1665247904512686,2.2263625356566625
"['AAPL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",40269.41992141156,-0.32331993259826647,0.23437383583280202,1.166524482067231,2.2999455528953723
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'KO']",42038.01277906032,-0.3545410186742008,0.24548108257660153,1.1612032545595419,2.0295133680184945
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V', 'KO']",41938.3505134244,-0.33789810824232897,0.24517585503532116,1.1606380973467605,2.011854581434079
"['AAPL', 'GOOGL', 'NVDA', 'PG', 'KO']",43773.24297393576,-0.3402650193535467,0.2548784681275872,1.1600077544957559,2.1483933215021236
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'KO']",42557.66576694968,-0.3486780088571346,0.2488966483133717,1.1591504006233635,1.9511622772036386
"['MSFT', 'GOOGL', 'NVDA', 'PG', 'KO']",43892.83769269887,-0.35889153896375153,0.25617448019761113,1.1570293297897234,2.1794100293023715
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V']",47098.62589893561,-0.3793298457860931,0.2736242119837944,1.1549844941483143,1.9073467253572731
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM']",47841.80420316594,-0.3945547075927379,0.27741904952352175,1.154696449748806,1.918904217190331
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V']",47218.22061769872,-0.4053819789655999,0.27444183329896876,1.1540579629069116,1.9488284454873612
"['MSFT', 'NVDA', 'V', 'PG', 'KO']",42829.46024783903,-0.3400747287206984,0.25212569061564993,1.1510441349458334,2.5133423975078912
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",38062.3557344604,-0.3400068787183124,0.2257369291950127,1.1508637085920423,2.091359776205677
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V', 'KO']",41671.51789623314,-0.3329243918915488,0.24633762496510417,1.150349465774093,2.2026336209161426
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",37976.93093534389,-0.32597418605747286,0.22552980633702271,1.1500026400335717,2.0487847987330863
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG']",41616.92382692314,-0.35799750305008315,0.24652846433647782,1.14911484685272,1.9816552823681985
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG']",41716.58609255907,-0.37466488289168426,0.24707086035126477,1.1488016702912156,1.9903809535599994
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",38507.7725812227,-0.3361121841489063,0.2293761417799706,1.1469674465935737,2.0419545701002373
"['AAPL', 'NVDA', 'V', 'PG', 'KO']",42709.86552907592,-0.3201368960262702,0.25290112448041324,1.1464594474075749,2.4386523584377495
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG']",42236.239080448424,-0.367833484675837,0.25073349350363905,1.1461617315711337,1.9928034120125624
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V']",46778.42675830611,-0.37626916028080104,0.27480952031851147,1.1453277941972613,2.113064027413154
"['MSFT', 'GOOGL', 'NVDA', 'V', 'KO']",44832.176958254444,-0.35682043522187085,0.2650298259003123,1.143943483896786,2.058970857275668
"['AMZN', 'NVDA', 'JPM', 'PG', 'KO']",43110.10668827173,-0.37176736344321987,0.25606130546796096,1.1432888006655302,2.005398040503837
"['AAPL', 'GOOGL', 'NVDA', 'V', 'KO']",44712.582239491334,-0.3375146766046443,0.2647103785593538,1.1432878797605466,2.121485073572606
"['AAPL', 'MSFT', 'NVDA', 'PG', 'KO']",43453.04383330626,-0.3346283631536637,0.2584771711868294,1.1407223823952974,2.412371108545296
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V', 'PG', 'KO']",37748.217263465674,-0.32117673637224226,0.22708932561571116,1.137612707735538,2.1542738969096846
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V', 'PG']",41350.09120973189,-0.35376525790932944,0.2480586835428539,1.1375415031705927,2.1419664390993662
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'KO']",45455.76054372167,-0.35011797347246665,0.27054127769435254,1.1367280853696757,2.047596995261399
"['MSFT', 'GOOGL', 'NVDA', 'V', 'PG', 'KO']",39728.21637635551,-0.339996941333358,0.2401220570966378,1.1321783137809553,2.2099067438361275
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'KO']",39178.72919947668,-0.33399533611977733,0.23728908914763713,1.1316283297761633,1.9679957637050316
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'KO']",45112.82339868715,-0.39312186514353215,0.2707099166012782,1.1314357312861598,1.805513234405759
"['AAPL', 'GOOGL', 'NVDA', 'V', 'PG', 'KO']",39628.55411071958,-0.3237975268509537,0.23991272007388487,1.131233836747643,2.138791180684112
"['AAPL', 'MSFT', 'NVDA', 'V', 'KO']",44392.383098861836,-0.33160881224520433,0.2671582207844087,1.128935675170667,2.363407317065872
"['AAPL', 'GOOGL', 'NVDA', 'V', 'PG']",44326.87021568983,-0.36114913228979817,0.26710526199411827,1.1285289923748516,2.0903892569061857
"['MSFT', 'GOOGL', 'NVDA', 'V', 'PG']",44446.46493445294,-0.38084616966558665,0.26776901555740173,1.1280525487412683,2.1150030837172893
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V']",43019.02180174473,-0.3675606750156222,0.2606734036326363,1.1268401543627478,1.882612815364821
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",39962.08841004942,-0.3632597867682271,0.24360606136390658,1.125238074854001,1.845084591592735
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'KO']",44792.624258057636,-0.3905029642823148,0.2710123167004036,1.1242376109956629,2.0105137428621367
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'PG', 'KO']",40247.86936424486,-0.3355294488027275,0.24567978928976777,1.1231124141876703,2.1354249370251903
"['AMZN', 'NVDA', 'JPM', 'V', 'KO']",44049.4459538273,-0.3725551407442087,0.26749546658606266,1.1225193341609243,2.0009713511625677
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",36057.43973289969,-0.323830433871592,0.220609965029309,1.1218978502140322,2.048135807644856
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'KO']",44673.02953929454,-0.3631966552297344,0.2714517913484653,1.1209808455244024,1.9425308564928547
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG']",38903.22061104703,-0.35153531464441506,0.23853243385227166,1.1208068798006077,1.968151466812009
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'PG']",45070.048519920165,-0.37245792879358497,0.27355710270611255,1.1205443825696895,2.035856006295188
"['AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",39075.94053933289,-0.3433610044704124,0.2405976231974504,1.116349424375551,2.029556389243334
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG']",44727.111374885644,-0.4159441884989874,0.2734916909240832,1.1160866968614827,1.7789031426199056
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",39695.255792858174,-0.3598638433723119,0.24455148716817907,1.1154396466774732,2.0112368313721083
"['AAPL', 'MSFT', 'NVDA', 'V', 'PG', 'KO']",39361.721493528334,-0.31815088213501475,0.2426288559731195,1.1148685240901568,2.324905625847036
"['AAPL', 'MSFT', 'NVDA', 'V', 'PG']",44006.67107506033,-0.3562752004772149,0.27005087502286057,1.1128015495226802,2.2822217807097784
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",39595.59352722225,-0.33829464313895513,0.2449273286066778,1.1122920782926826,2.0406567231472015
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'V', 'KO']",41030.65208554117,-0.33308119659164814,0.2537022281921615,1.1113361654092613,2.0646619152611496
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'PG']",44406.91223425613,-0.4142667453429898,0.274334219755277,1.1072365831119693,1.8911691034261509
"['AMZN', 'NVDA', 'JPM', 'V', 'PG']",43663.733930025795,-0.3981068089688105,0.2702137626689193,1.1070513341852606,1.9415694488317317
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",40744.87113134573,-0.36373280824472703,0.25360577118210365,1.106659511010482,1.8372769572264844
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'PG']",44287.317515493036,-0.3865883138855572,0.2744287701238583,1.1051185038561342,1.9387122406276875
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'KO']",41364.18638487101,-0.37896297076612245,0.2578414027524162,1.1047186385821863,1.7847514945944094
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'KO']",41264.52411923509,-0.3566460204135926,0.2574302041106501,1.1043667574108973,1.7520784358396289
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'V']",46009.38778547574,-0.3719175993799668,0.2841565285258451,1.1042661546249695,1.976887679746888
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",36953.948607847895,-0.3427246414207526,0.23136904972796116,1.1021544045965095,1.8430037029877175
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'V', 'PG', 'KO']",37198.903711443985,-0.3216528294703767,0.23320618952597097,1.1006714313328763,2.1412235584566517
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",40478.03851415448,-0.36028574538797137,0.25367322020808847,1.1004365679216463,2.0073051674754656
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",37484.79025372671,-0.3543897527610802,0.23577499944284724,1.0983009686618659,1.7991165299289833
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'V', 'PG']",40709.22539903992,-0.3532542941455175,0.2557526239620308,1.0979666603658502,2.0705036817661537
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",37399.3654546102,-0.3385165140303131,0.2354740714986262,1.0977113784885233,1.8291596864578192
"['GOOGL', 'AMZN', 'NVDA', 'PG', 'KO']",42341.067715441364,-0.36719465579014493,0.2654798644699408,1.0976165696187905,1.9627764247056896
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'KO']",40997.69150204384,-0.3532097901835085,0.25822863098559623,1.0958871917423887,1.9151438045584233
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",40378.37624851856,-0.3361627485446919,0.25482157110688947,1.0947428968238402,1.9028539455295364
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",40423.44444484448,-0.38449584276038085,0.25546107134393453,1.0939843622404393,1.7681183033534038
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",36725.23493596968,-0.33818874088799744,0.232053884263408,1.0934625891049499,2.046344364482036
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM']",46290.03422590844,-0.405458274096251,0.28999204385158134,1.0933787488459836,1.720742090708895
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'V']",45666.45064044122,-0.4176305948608333,0.28681501212833277,1.0923957857143702,1.742689306799762
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM']",46409.62894467155,-0.43130381557644304,0.2910127568034274,1.0922926505534867,1.7581743668748426
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG']",40943.09743273383,-0.3759597595423308,0.25952102608756483,1.0912527118847746,1.7435359784934654
"['AMZN', 'NVDA', 'V', 'PG', 'KO']",41277.69027058152,-0.3440433946783962,0.2611234548596791,1.0908882584333208,2.1375594657928954
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG']",41042.75969836976,-0.39852994798322133,0.26021979478700663,1.0906857008881647,1.7477420969310842
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",36639.81013685317,-0.3232052255083996,0.2330396331064514,1.087988058367432,2.0235050895835953
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",37170.651782731984,-0.3341516138953147,0.23665671369147998,1.087455590974199,1.9381428000484442
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'V']",45346.251499811704,-0.4159852627851951,0.28668450062410283,1.0869844200319223,1.9099750539445566
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",40156.61182765323,-0.38182502697711407,0.2559502442066138,1.0863493061936955,1.9235741225497895
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM']",45969.835085278944,-0.40348199441224997,0.290846116533043,1.0853189168111776,1.837998582965286
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",38155.746871980686,-0.35465002644650573,0.24401650877316522,1.0845130537350605,1.8054034964032164
"['MSFT', 'AMZN', 'NVDA', 'PG', 'KO']",42020.86857481186,-0.3633111071592412,0.2677836670890477,1.0836966359245268,2.1152552144007926
"['GOOGL', 'AMZN', 'NVDA', 'V', 'KO']",43280.40698099694,-0.3678487321465274,0.27607320152425563,1.0825749515633025,1.8589388628703039
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'V']",45226.65678104861,-0.387652890571453,0.2876492680559346,1.0823257015037906,1.8843574007886017
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",38070.322072864175,-0.33637166885329245,0.24429710000581853,1.0818266118929891,1.7594576783110316
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'PG']",40676.264815542585,-0.3731934189727716,0.26068983725218076,1.0816485701918441,1.87549284052361
"['AAPL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",40056.949562017304,-0.35743939107765094,0.25686156556856266,1.081561250705898,1.9502287922292332
"['AAPL', 'AMZN', 'NVDA', 'PG', 'KO']",41901.273856048756,-0.3379606269953719,0.26819877804426656,1.0806409609302428,2.1414172705581427
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'KO']",38601.163718742995,-0.3490129070960708,0.24815771169871467,1.080313327881935,1.7221469674214518
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",35162.3301963407,-0.3384130396889233,0.22544703044862494,1.0793977101858134,1.8554624982139534
"['GOOGL', 'AMZN', 'NVDA', 'V', 'PG', 'KO']",38435.074728640924,-0.3431644517519329,0.2474081935893468,1.0784186577253492,1.963712818294845
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",35087.58349711375,-0.3256439040184502,0.22573281650669655,1.0766085513414831,1.8303290075030068
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'KO']",43903.99056646417,-0.3591847026776332,0.2819636983023638,1.0762282910998064,1.8159129531231633
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'KO']",44023.58528522728,-0.385513937190546,0.2826669173129451,1.0759484924492615,1.812591329481956
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",37841.60840098596,-0.33184790703582556,0.24485084517078815,1.0742982234685863,1.8875961524938778
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",35552.06993725772,-0.33493876612494683,0.22966627481389723,1.0738050309860652,1.8238529317810575
"['MSFT', 'AMZN', 'NVDA', 'V', 'KO']",42960.20784036743,-0.36390013682155975,0.27706464286080656,1.0733719456707789,2.0367541829995663
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V']",41825.54241966607,-0.3996426116834966,0.270739070261718,1.0732334193031223,1.726915168903272
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",37880.238283551036,-0.3726832523854855,0.24568387689683693,1.0726436545812246,1.7454761952186166
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V']",41725.88015403014,-0.37663915179742785,0.2706913414849896,1.0716355587584676,1.6954477531505792
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM']",42345.19540755543,-0.39037037866077834,0.27463734049039984,1.0712551885447674,1.710059304655974
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",37794.813484434526,-0.3545280427084575,0.24575274358318372,1.0707189319267283,1.7695050916539743
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'PG', 'KO']",39054.3899821662,-0.35633123815869333,0.2539970713100188,1.0695759773225462,1.8768775389378338
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'PG', 'KO']",38954.72771653027,-0.3382785896105274,0.253500892389297,1.0694866753273462,1.8898033643135361
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG']",38325.655130313346,-0.36594269863489937,0.24999190516748407,1.068230544940175,1.7082817953003033
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",34887.459034220316,-0.32126942686133003,0.2266736269819997,1.0673681994774675,1.9652061025352872
"['AAPL', 'AMZN', 'NVDA', 'V', 'KO']",42840.61312160433,-0.335017538226892,0.27858823891273665,1.067085548154723,1.9659444768094434
"['GOOGL', 'AMZN', 'NVDA', 'V', 'PG']",42894.69495719543,-0.3925237705533212,0.27923331642064314,1.0666066360898352,1.839361642384548
"['MSFT', 'AMZN', 'NVDA', 'V', 'PG', 'KO']",38168.24211144967,-0.3378647610881453,0.2490123929048839,1.0665783928020514,2.16471486790005
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'V']",41459.047536838894,-0.37384384569035395,0.2711827347243806,1.0646700849123298,1.802183412741789
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'KO']",43583.791425834665,-0.35522868559192133,0.2840434066358681,1.0642745769065585,1.9628649808475553
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",37566.09981255631,-0.35060716059215175,0.24660996177087127,1.0621929339527127,1.897081308177017
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'KO']",36139.156978229956,-0.3329831252966819,0.2371384442703681,1.061667572924388,1.76274949153157
"['AAPL', 'AMZN', 'NVDA', 'V', 'PG', 'KO']",38068.57984581374,-0.3203851366327517,0.25028218222658505,1.0605697724010001,2.015985358665813
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'PG']",43518.278542662665,-0.38183948981083854,0.28537238477940086,1.060155216611911,1.790079409855851
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V', 'KO']",39837.17270346251,-0.3566713608140903,0.26245273859227747,1.0593144906235241,1.825768631662096
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'PG']",43637.873261425775,-0.40851775097930026,0.2865110568370401,1.058717751081697,1.80950741913137
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'V', 'KO']",39737.51043782658,-0.335792158363294,0.2627385332920135,1.056693950823606,1.8385065316367062
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG', 'KO']",33702.40769918893,-0.32370322625574194,0.2212109516576502,1.056289326223582,1.790947571509166
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'PG', 'KO']",38687.895099339024,-0.33321156762796006,0.25580497858638546,1.0558919077689637,2.0027674891398997
"['MSFT', 'AMZN', 'NVDA', 'V', 'PG']",42574.495816565926,-0.38967929355566744,0.280800412206913,1.0558634672087952,2.038890296392613
"['TSLA', 'NVDA', 'JPM', 'PG', 'KO']",49763.25819305921,-0.42505040513485903,0.32236344240830495,1.0548841601783112,2.2784050849929405
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V', 'PG', 'KO']",36175.92138394799,-0.33817703336684685,0.23927812261738554,1.0543389203067108,1.9320180342669415
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V']",38996.611748567324,-0.36637541160956705,0.2591778078346187,1.0532858229754118,1.6688637720102315
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'KO']",40356.82569135187,-0.3500491526653349,0.2683293837113087,1.0518733447607838,1.7728964686768292
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'V', 'PG', 'KO']",36090.49658483148,-0.3236385609420825,0.23958296651805105,1.0515634309067512,1.856639882494162
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'JPM', 'V', 'PG']",35898.08696335402,-0.3490249664116578,0.2384656742184499,1.051241713619442,1.7143922716861064
"['AAPL', 'AMZN', 'NVDA', 'V', 'PG']",42454.901097802824,-0.3607843380055243,0.28197689819888383,1.0507514544244407,1.9987498386539877
"['GOOGL', 'TSLA', 'NVDA', 'JPM', 'KO']",51765.97490347462,-0.4602285354377848,0.3360068160971809,1.0500073727449013,2.0922189515897136
"['GOOGL', 'TSLA', 'NVDA', 'JPM', 'PG', 'KO']",45506.381330705655,-0.4187229533509793,0.30058880346547956,1.0491478273050197,2.0783161159888643
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'PG']",43198.07940203316,-0.378810756942712,0.28794759845254897,1.0470855284698695,1.950661044173925
"['AAPL', 'MSFT', 'AMZN', 'NVDA', 'V', 'KO']",39470.677820635334,-0.33051085911107525,0.26416932484025296,1.0464830952075812,1.9900022775805188
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA', 'PG', 'KO']",36621.338230710295,-0.3342554741135216,0.24512979077823904,1.0452816093114916,1.8384611574548073
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V', 'PG']",39515.74601696125,-0.3775842777699305,0.2651114033308564,1.0448330347763706,1.8031306572415082
"['MSFT', 'GOOGL', 'AMZN', 'NVDA', 'V']",44577.21252698135,-0.4100519070023612,0.2979954876924196,1.0441640749700312,1.7371918540843347
"['GOOGL', 'TSLA', 'NVDA', 'JPM', 'PG']",51380.262879673115,-0.47307081026501,0.3370007157655325,1.0435912566717365,2.08993561530089
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'V', 'PG']",39416.08375132533,-0.356784932435182,0.26509905891695673,1.0431580418809452,1.855089136848103
"['AAPL', 'GOOGL', 'AMZN', 'NVDA', 'V']",44457.61780821824,-0.38276643365113605,0.29774664777368376,1.0430099509184843,1.7617630485917861
"['AAPL', 'MSFT', 'GOOGL', 'AMZN', 'NVDA']",45200.796112448574,-0.40934055089288607,0.303517687901383,1.0399885710906038,1.7887534226049238
"['TSLA', 'NVDA', 'JPM', 'V', 'PG', 'KO']",44620.233459989126,-0.38894757028326715,0.29852317825389924,1.0398738837222823,2.2293463065456276
